Date,Distance walking,Step count
2022-08-12,7.212,10168.000
2022-08-13,5.047,7164.000
2022-08-14,3.223,4119.000
2022-08-15,7.205,10489.000
2022-08-16,9.032,13949.000
2022-08-17,11.742,17624.000
2022-08-18,4.343,7688.000
2022-08-19,4.127,6479.000
2022-08-20,5.404,7675.000
2022-08-21,3.447,4625.000
2022-08-22,6.540,9284.000
2022-08-23,8.162,13426.000
2022-08-24,9.231,13229.000
2022-08-25,5.261,7177.000
2022-08-26,4.596,6557.000
2022-08-27,5.493,8153.000
2022-08-28,6.054,8152.000
2022-08-29,6.034,8680.000
2022-08-30,5.254,7718.000
2022-08-31,8.501,12575.000
2022-09-01,5.256,7488.000
2022-09-02,6.923,10572.000
2022-09-03,3.870,5480.000
2022-09-04,4.815,6435.000
2022-09-05,8.399,11753.000
2022-09-06,9.176,12906.000
2022-09-07,6.795,9927.000
2022-09-08,4.318,6307.000
2022-09-09,5.943,8661.000
2022-09-10,5.220,7469.000
2022-09-11,6.105,8568.000
2022-09-12,7.553,11790.000
2022-09-13,7.088,9483.000
2022-09-14,3.048,4306.000
2022-09-15,5.974,8530.000
2022-09-16,6.972,10070.000
2022-09-17,5.876,8590.000
2022-09-18,5.745,8174.000
2022-09-19,4.743,6590.638
2022-09-20,7.320,10814.362
2022-09-21,6.962,10074.000
2022-09-22,2.732,3945.000
2022-09-23,8.288,12550.000
2022-09-24,3.877,5462.000
2022-09-25,3.756,5835.000
2022-09-26,8.283,12789.000
2022-09-27,4.200,6062.000
2022-09-28,3.905,5461.000
2022-09-29,5.316,7847.000
2022-09-30,8.299,12045.000
2022-10-01,8.244,12836.000
2022-10-02,5.049,7442.000
2022-10-03,6.480,9539.000
2022-10-04,8.103,11946.010
2022-10-05,6.316,9245.990
2022-10-06,9.258,13395.000
2022-10-07,15.755,23545.000
2022-10-08,5.297,7561.000
2022-10-09,5.311,7667.000
2022-10-10,4.330,6501.934
2022-10-11,5.357,7973.066
2022-10-12,4.188,6005.000
2022-10-13,9.680,14499.000
2022-10-14,4.972,7379.000
2022-10-15,5.618,8278.000
2022-10-16,5.378,8325.073
2022-10-17,7.090,10507.927
2022-10-18,4.495,6736.000
2022-10-19,10.852,15257.000
2022-10-20,6.420,9388.810
2022-10-21,13.994,20512.190
2022-10-22,4.701,6446.000
2022-10-23,6.429,9102.000
2022-10-24,11.187,16390.000
2022-10-25,8.468,12748.000
2022-10-26,8.083,11757.000
2022-10-27,8.649,12393.000
2022-10-28,8.010,12585.000
2022-10-29,6.237,8312.535
2022-10-30,6.335,8604.465
2022-10-31,10.020,14784.000
2022-11-01,4.036,5853.000
2022-11-02,4.659,6666.033
2022-11-03,6.789,9706.967
2022-11-04,3.647,5328.000
2022-11-05,7.772,11872.000
2022-11-06,6.209,9064.765
2022-11-07,15.446,22749.235
2022-11-08,7.209,10860.000
2022-11-09,9.084,13559.000
2022-11-10,3.683,5484.000
2022-11-11,8.992,13492.000
2022-11-12,4.484,6984.000
2022-11-13,3.227,4831.000
2022-11-14,5.358,8155.000
2022-11-15,5.908,8402.000
2022-11-16,4.239,6131.000
2022-11-17,9.530,13562.000
2022-11-18,3.109,4933.000
2022-11-19,2.784,4409.000
2022-11-20,2.513,3797.000
2022-11-21,8.143,11959.000
2022-11-22,3.040,4553.000
2022-11-23,6.011,9081.000
2022-11-24,4.967,7552.253
2022-11-25,10.507,15689.747
2022-11-26,9.400,14306.000
